iter	Passed	Remaining
399	30755	353691
400	30835	353652
401	30916	353619
402	30997	353589
403	31071	353478
404	31150	353422
405	31232	353400
406	31315	353395
407	31397	353380
408	31477	353329
409	31554	353256
410	31633	353200
411	31718	353215
412	31794	353124
413	31876	353107
414	31955	353050
415	32032	352977
416	32115	352964
417	32198	352951
418	32292	353057
419	32370	352995
420	32447	352914
421	32529	352892
422	32610	352861
423	32696	352873
424	32777	352837
425	32858	352803
426	32937	352752
427	33016	352688
428	33100	352684
429	33179	352631
430	33259	352585
431	33343	352573
432	33422	352514
433	33500	352452
434	33579	352389
435	33660	352357
436	33742	352327
437	33821	352271
438	33900	352210
439	33974	352103
440	34054	352048
441	34134	352006
442	34212	351929
443	34290	351861
444	34366	351769
445	34440	351667
446	34518	351595
447	34598	351541
448	34677	351485
449	34754	351402
450	34828	351294
451	34904	351207
452	34983	351148
453	35065	351119
454	35141	351025
455	35218	350948
456	35295	350867
457	35373	350799
458	35453	350749
459	35530	350667
460	35614	350657
461	35691	350575
462	35767	350489
463	35846	350429
464	35919	350312
465	36000	350275
466	36079	350208
467	36160	350169
468	36250	350216
469	36326	350127
470	36405	350062
471	36482	349984
472	36556	349872
473	36635	349812
474	36711	349726
475	36788	349641
476	36866	349578
477	36941	349480
478	37018	349397
479	37095	349312
480	37171	349225
481	37247	349134
482	37321	349028
483	37398	348950
484	37478	348894
485	37554	348809
486	37633	348748
487	37707	348641
488	37790	348613
489	37872	348582
490	37952	348532
491	38031	348471
492	38111	348416
493	38191	348364
494	38270	348302
495	38349	348235
496	38471	348565
497	38550	348501
498	38627	348420
499	38702	348321
500	38778	348233
501	38853	348134
502	38927	348029
503	39003	347932
504	39086	347905
505	39164	347839
506	39250	347832
507	39334	347815
508	39411	347739
509	39488	347653
510	39564	347563
511	39643	347496
512	39719	347409
513	39796	347331
514	39875	347261
515	39950	347168
516	40028	347091
517	40107	347031
518	40182	346933
519	40257	346835
520	40333	346744
521	40413	346691
522	40492	346623
523	40571	346564
