iter	MultiRMSE
396	13.93030154
397	13.92732953
398	13.92545594
399	13.92246283
400	13.91935651
401	13.91724245
402	13.91397787
403	13.91008234
404	13.90797538
405	13.9054179
406	13.90126291
407	13.89808536
408	13.89431422
409	13.89155229
410	13.88882646
411	13.8870389
412	13.88430255
413	13.88076498
414	13.87829267
415	13.8760871
416	13.874057
417	13.87160974
418	13.86876436
419	13.86640292
420	13.86457214
421	13.86220159
422	13.86054224
423	13.85658207
424	13.85459851
425	13.85061235
426	13.84852571
427	13.84622726
428	13.84483726
429	13.841787
430	13.83918015
431	13.83729902
432	13.83461656
433	13.83312737
434	13.8298543
435	13.82630395
436	13.82431487
437	13.822096
438	13.81853434
439	13.81630723
440	13.81393669
441	13.81155915
442	13.80898591
443	13.80709695
444	13.80523554
445	13.80259051
446	13.8005513
447	13.79913277
448	13.79550895
449	13.79321866
450	13.79013419
451	13.78817281
452	13.78605611
453	13.78280547
454	13.7793625
455	13.77736532
456	13.77593505
457	13.77320719
458	13.77148214
459	13.76817199
460	13.76586057
461	13.76340712
462	13.76100355
463	13.75954526
464	13.75675904
465	13.7552036
466	13.75312
467	13.75079903
468	13.74842759
469	13.74670069
470	13.74447638
471	13.74196373
472	13.74040327
473	13.73772726
474	13.73542128
475	13.73337838
476	13.73113202
477	13.72887286
478	13.72780803
479	13.72612123
480	13.72513899
481	13.7231657
482	13.72037798
483	13.71853951
484	13.71550316
485	13.7139868
486	13.71265217
487	13.71062154
488	13.70797453
489	13.70650716
490	13.70551485
491	13.70362968
492	13.70249426
493	13.7013984
494	13.69878354
495	13.69655903
496	13.69461575
497	13.69274989
498	13.6913855
499	13.69009394
500	13.68849864
501	13.68657244
502	13.68437312
503	13.6825255
504	13.68046453
505	13.67895539
506	13.67608633
507	13.67373982
508	13.67184477
509	13.67017839
510	13.66895775
511	13.66709784
512	13.66384871
513	13.662128
514	13.65993418
515	13.65824189
516	13.65703014
517	13.65493784
518	13.65362894
519	13.65240038
520	13.65129962
521	13.6493947
522	13.64779283
523	13.6459008
