iter	MultiRMSE
0	17.63998622
1	17.59783795
2	17.56341141
3	17.52506622
4	17.49788536
5	17.46242035
6	17.43050928
7	17.39621012
8	17.3579318
9	17.32313216
10	17.29526539
11	17.25952813
12	17.22464666
13	17.19393598
14	17.16820033
15	17.14224866
16	17.11129662
17	17.08993554
18	17.06134018
19	17.03479591
20	17.00235217
21	16.97656442
22	16.95313254
23	16.93218702
24	16.90566273
25	16.8806201
26	16.85703174
27	16.83068719
28	16.80380641
29	16.77949501
30	16.76537902
31	16.74141011
32	16.71800655
33	16.69686921
34	16.67537259
35	16.65395758
36	16.63023613
37	16.61335931
38	16.59718817
39	16.5766581
40	16.5615982
41	16.54078028
42	16.52416162
43	16.50585339
44	16.48012323
45	16.46547627
46	16.44819183
47	16.43689091
48	16.42035228
49	16.39601892
50	16.37745553
51	16.36009677
52	16.3411064
53	16.32335718
54	16.30215181
55	16.28681622
56	16.27550909
57	16.25327074
58	16.2352389
59	16.220101
60	16.21017681
61	16.19516605
62	16.17873074
63	16.15779212
64	16.14644772
65	16.134132
66	16.11492535
67	16.10292916
68	16.09032368
69	16.07037966
70	16.05357526
71	16.0401578
72	16.02654378
73	16.01152519
74	16.00092681
75	15.98605803
76	15.97189016
77	15.96276051
78	15.94669887
79	15.93722711
80	15.92279614
81	15.90750876
82	15.89352784
83	15.8766369
84	15.8641164
85	15.85331294
86	15.83866537
87	15.82580405
88	15.80641726
89	15.79421246
90	15.78253343
91	15.76421563
92	15.75467785
93	15.74101761
94	15.72862645
95	15.71792228
96	15.70467524
97	15.68705222
98	15.67305135
99	15.65823207
100	15.646638
101	15.63309224
102	15.62264187
103	15.61158125
104	15.60198876
105	15.59215112
106	15.5833145
107	15.57315902
108	15.55836658
109	15.54591143
110	15.53656469
111	15.52748173
112	15.51319423
113	15.50101956
114	15.48849125
115	15.48062092
116	15.47498004
117	15.46172841
118	15.45378942
119	15.4461516
120	15.44063646
121	15.43462991
122	15.42330508
123	15.40618383
124	15.39849011
125	15.38568637
126	15.37380466
127	15.3632675
128	15.35609478
129	15.34754603
130	15.3378612
131	15.32989637
132	15.32244097
133	15.31354219
134	15.30429698
135	15.29542858
136	15.2850924
137	15.2757231
138	15.26812531
139	15.2596136
140	15.24851308
141	15.23864825
142	15.23045239
143	15.22409445
144	15.21810892
145	15.21120968
146	15.19903742
147	15.18734313
148	15.17329633
149	15.15978808
150	15.14899435
151	15.1408767
152	15.13026612
153	15.12277979
154	15.11092871
155	15.10323992
156	15.09601992
157	15.08610058
158	15.07735326
159	15.07060302
160	15.06133691
161	15.05099621
162	15.04119299
163	15.0323387
164	15.02596596
165	15.0169795
166	15.00818486
167	15.00067804
168	14.99037618
169	14.98218596
170	14.97518512
171	14.9685958
172	14.96042902
173	14.95369737
174	14.9476016
175	14.94234221
176	14.93557924
177	14.93023466
178	14.92223768
179	14.91404219
180	14.90830454
181	14.90289256
182	14.89803894
183	14.89039797
184	14.88065262
185	14.87275408
186	14.86709778
187	14.85939343
188	14.85152194
189	14.84510154
190	14.84002166
191	14.83527673
192	14.82903494
193	14.82290293
194	14.81583573
195	14.81125936
196	14.80123269
197	14.79676875
198	14.78967053
199	14.78309282
200	14.77474397
201	14.77046423
202	14.76558207
203	14.75886777
204	14.75344301
205	14.74702811
206	14.74005059
207	14.73358004
208	14.72779273
209	14.72397444
210	14.71892194
211	14.71419734
212	14.70844809
213	14.70183605
214	14.69500263
215	14.69049623
216	14.68219988
217	14.67765136
218	14.67406735
219	14.66807828
220	14.66305114
221	14.6578319
222	14.65151411
223	14.64464789
224	14.63690413
225	14.63126975
226	14.62535419
227	14.62087107
228	14.6127596
229	14.60644199
230	14.59927694
231	14.59340948
232	14.58993877
233	14.58601099
234	14.5791898
235	14.57386204
236	14.56851241
237	14.56167167
238	14.55525502
239	14.55185148
240	14.54588415
241	14.5399124
242	14.53585037
243	14.53135926
244	14.52520607
245	14.51914739
246	14.51505478
247	14.51074868
248	14.50475824
249	14.50089968
250	14.49695098
251	14.49253745
252	14.48746698
253	14.48297342
254	14.47838677
255	14.47464323
256	14.47082601
257	14.46543784
258	14.46022209
259	14.45560193
260	14.45044153
261	14.44434081
262	14.43919849
263	14.43439133
264	14.42935071
265	14.4256385
266	14.42084691
267	14.41655958
268	14.40775815
269	14.40293769
270	14.39709419
271	14.39354163
272	14.38904774
273	14.3838434
274	14.37947622
275	14.3772817
276	14.37166694
277	14.36841833
278	14.3637579
279	14.35952613
280	14.35581532
281	14.35156998
282	14.34695818
283	14.34185006
284	14.33460452
285	14.33274069
286	14.32713825
287	14.32162888
288	14.31742175
289	14.31485323
290	14.31012278
291	14.30487287
292	14.3017418
293	14.29702382
294	14.29231519
295	14.28843407
296	14.28419139
297	14.27895612
298	14.27532445
299	14.27016475
300	14.26771185
301	14.26409761
302	14.26163236
303	14.2584802
304	14.25367028
305	14.25168045
306	14.24672072
307	14.24155736
308	14.23675637
309	14.2316898
310	14.22775391
311	14.22532996
312	14.22061548
313	14.21618764
314	14.211265
315	14.20765637
316	14.20422096
317	14.20122986
318	14.19847192
319	14.19490935
320	14.19178012
321	14.18846545
322	14.18351843
323	14.18065922
324	14.17722003
325	14.17213699
326	14.16950382
327	14.16365111
328	14.15794388
329	14.15485548
330	14.15117957
331	14.14636827
332	14.14109797
333	14.13548204
334	14.13173309
335	14.12926923
336	14.12555402
337	14.12153729
338	14.11792683
339	14.11437202
340	14.11217326
341	14.1105383
342	14.10760929
343	14.10274307
344	14.09916668
345	14.09449671
346	14.0918972
347	14.08813249
348	14.0832807
349	14.08007032
350	14.07717102
351	14.07493941
352	14.07147754
353	14.06786942
354	14.06350494
355	14.06022683
356	14.05569985
357	14.0521683
358	14.04842613
359	14.04642927
360	14.04325792
361	14.0400773
362	14.03621327
363	14.03300795
364	14.02829703
365	14.02321379
366	14.02014373
367	14.01745885
368	14.01542591
369	14.01241874
370	14.01023897
371	14.00745476
372	14.00381492
373	14.0001671
374	13.99626335
375	13.99397987
376	13.99105299
377	13.9884922
378	13.98534679
379	13.98209642
380	13.97793206
381	13.97410526
382	13.97047634
383	13.96825953
384	13.96580598
385	13.96186741
386	13.9597921
387	13.95644579
388	13.95348898
389	13.94952515
390	13.94670833
391	13.94384701
392	13.94164187
393	13.93855494
394	13.93557116
395	13.93286277
